carrier_philosophy,adjuster_type,ia_skill_level,carrier_engineer,property_type,property_age_years,loss_type,is_catastrophe,geographic_setting,policy_type,total_insured_value,prior_claims_count,supplements_issued,carrier_estimate,demand_estimate,dispute_amount,dispute_percentage,pa_involved,pa_attorney,pa_firm_type,is_roof_dispute,coverage_dispute,line_items_disputed,trades_involved,mitigation_performed,mitigation_cost,mitigation_disputed_pct,complexity_class,estimated_timeline_days,award_amount,award_position_pct,carrier_to_award_delta,carrier_to_award_delta_pct,demand_to_award_delta,demand_to_award_delta_pct,appraisal_outcome
moderate,independent,medium,False,residential,25,hurricane,True,urban,RCV,587963.94,1,2,38538.59,102047.02,63508.42,164.79,True,True,regional,True,False,20,3,False,0.0,0.0,Complex,165,55960.61,27.43,17422.02,45.21,46086.41,45.16,Carrier Favorable
moderate,staff,,False,residential,36,hail,False,urban,RCV,356424.24,0,0,28938.53,59236.3,30297.77,104.7,True,False,local,True,False,20,3,False,0.0,0.0,Simple,60,42335.45,44.22,13396.92,46.29,16900.85,28.53,Split Decision
moderate,independent,medium,False,residential,20,hail,False,urban,RCV,205631.93,0,1,27203.4,65695.12,38491.72,141.5,True,False,local,False,True,32,2,False,0.0,0.0,High-Complexity,197,50672.01,60.97,23468.6,86.27,15023.12,22.87,Policyholder Favorable
liberal,independent,medium,False,residential,19,hail,True,suburban,ACV,390148.09,0,1,48347.31,94760.6,46413.3,96.0,True,False,regional,True,False,10,2,False,0.0,0.0,Simple,35,64954.61,35.78,16607.31,34.35,29805.99,31.45,Carrier Favorable
tight,independent,low,False,residential,17,hail,True,urban,RCV,407516.25,1,0,55473.66,135983.55,80509.89,145.13,True,True,local,False,False,11,2,False,0.0,0.0,High-Complexity,201,135983.55,100.0,80509.89,145.13,0.0,0.0,Policyholder Favorable
tight,independent,low,False,residential,11,hurricane,True,suburban,RCV,274607.4,0,2,10845.09,50027.67,39182.58,361.29,True,False,regional,True,False,22,1,False,0.0,0.0,Complex,137,21263.61,26.59,10418.52,96.07,28764.06,57.5,Carrier Favorable
tight,independent,high,True,residential,74,hurricane,True,urban,RCV,558844.1,2,2,34995.37,183599.22,148603.85,424.64,True,False,local,True,False,22,2,False,0.0,0.0,High-Complexity,150,84930.08,33.6,49934.7,142.69,98669.14,53.74,Carrier Favorable
moderate,staff,,False,residential,91,hurricane,True,rural,ACV,373757.75,0,3,67136.29,134218.42,67082.13,99.92,True,False,regional,False,True,53,2,False,0.0,0.0,High-Complexity,237,94749.97,41.16,27613.68,41.13,39468.45,29.41,Split Decision
tight,staff,,False,residential,9,wind,False,suburban,RCV,329020.31,1,2,37168.48,180561.37,143392.89,385.79,True,True,local,True,True,12,2,True,18304.95,0.33,High-Complexity,272,45556.83,5.85,8388.35,22.57,135004.54,74.77,Carrier Favorable
moderate,independent,medium,False,residential,20,water,False,urban,RCV,364541.56,1,1,46194.6,91431.84,45237.24,97.93,True,False,local,False,True,76,4,True,5053.14,0.58,High-Complexity,233,82787.38,80.89,36592.77,79.21,8644.47,9.45,Policyholder Favorable
liberal,independent,high,False,residential,35,hurricane,True,suburban,RCV,503138.44,0,1,78262.52,101492.4,23229.88,29.68,True,False,local,False,False,39,1,True,3058.06,0.02,Simple,41,91329.67,56.25,13067.15,16.7,10162.73,10.01,Split Decision
liberal,independent,high,False,residential,48,hurricane,True,rural,RCV,251400.14,1,0,43508.32,51456.15,7947.83,18.27,False,False,,False,False,21,3,False,0.0,0.0,Simple,47,43508.32,0.0,0.0,0.0,7947.83,15.45,Carrier Favorable
tight,independent,medium,False,residential,34,water,False,suburban,RCV,270975.82,1,1,46377.78,146768.03,100390.25,216.46,True,True,national,False,False,69,2,False,0.0,0.0,High-Complexity,251,143399.49,96.64,97021.71,209.2,3368.54,2.3,Policyholder Favorable
liberal,independent,high,False,residential,14,hurricane,True,suburban,RCV,469007.38,1,0,29866.82,36871.64,7004.82,23.45,True,False,local,False,False,52,3,False,0.0,0.0,Simple,53,30070.22,2.9,203.4,0.68,6801.42,18.45,Carrier Favorable
moderate,independent,low,False,residential,25,wind,False,suburban,RCV,483272.48,0,3,30212.93,52983.88,22770.95,75.37,True,False,regional,False,False,17,1,False,0.0,0.0,Complex,129,44269.8,61.73,14056.87,46.53,8714.08,16.45,Policyholder Favorable
liberal,staff,,False,residential,27,vehicle_impact,False,urban,RCV,597185.92,0,0,111122.52,153160.12,42037.59,37.83,False,False,,False,False,12,5,False,0.0,0.0,Moderate,73,133041.05,52.14,21918.52,19.72,20119.07,13.14,Split Decision
tight,independent,low,False,residential,33,hurricane,True,urban,ACV,479264.69,0,1,49952.76,71383.24,21430.48,42.9,False,False,,False,False,14,3,False,0.0,0.0,Complex,132,67387.27,81.35,17434.51,34.9,3995.97,5.6,Policyholder Favorable
moderate,independent,high,False,residential,6,water,False,suburban,ACV,525160.4,3,0,70011.63,103470.63,33459.0,47.79,False,False,,False,False,31,2,False,0.0,0.0,Complex,117,72855.3,8.5,2843.67,4.06,30615.33,29.59,Carrier Favorable
liberal,staff,,False,residential,18,hail,True,suburban,ACV,323110.9,1,1,54532.29,70456.72,15924.43,29.2,False,False,,True,False,18,2,False,0.0,0.0,Simple,30,66158.91,73.01,11626.62,21.32,4297.81,6.1,Policyholder Favorable
moderate,independent,high,False,residential,21,water,False,urban,RCV,592013.03,0,2,36337.46,73340.0,37002.54,101.83,True,False,local,False,False,18,5,True,16568.22,0.14,Complex,158,48117.15,31.83,11779.68,32.42,25222.86,34.39,Carrier Favorable
tight,staff,,False,residential,14,wind,False,suburban,RCV,215724.86,1,0,39054.14,43913.69,4859.55,12.44,False,False,,True,False,21,3,False,0.0,0.0,Complex,158,43913.69,100.0,4859.55,12.44,0.0,0.0,Policyholder Favorable
tight,staff,,False,residential,24,fire,False,rural,RCV,546885.99,0,1,42297.57,140395.08,98097.5,231.92,True,True,regional,False,False,42,7,True,4411.99,0.44,High-Complexity,170,140395.08,100.0,98097.5,231.92,0.0,0.0,Policyholder Favorable
moderate,staff,,False,residential,36,hail,False,suburban,RCV,240712.99,0,1,18772.02,42425.89,23653.87,126.01,True,False,local,True,False,12,1,False,0.0,0.0,Simple,52,32122.38,56.44,13350.37,71.12,10303.51,24.29,Split Decision
moderate,independent,low,False,residential,34,vehicle_impact,False,suburban,RCV,411936.01,1,0,19524.6,23981.23,4456.62,22.83,False,False,,False,False,15,3,False,0.0,0.0,Complex,165,22393.41,64.37,2868.81,14.69,1587.81,6.62,Policyholder Favorable
liberal,staff,,False,residential,23,wind,False,urban,RCV,496448.26,0,2,84043.77,118884.89,34841.12,41.46,True,False,national,True,False,8,1,False,0.0,0.0,Simple,50,95597.4,33.16,11553.62,13.75,23287.49,19.59,Carrier Favorable
moderate,independent,medium,False,residential,41,hail,False,suburban,RCV,551451.65,0,0,107373.44,151549.96,44176.52,41.14,False,False,,False,True,13,2,False,0.0,0.0,Complex,108,143917.43,82.72,36543.99,34.03,7632.53,5.04,Policyholder Favorable
tight,staff,,False,residential,16,fire,False,suburban,RCV,417089.78,0,4,57353.5,157263.47,99909.96,174.2,True,False,local,False,False,140,11,True,6176.75,0.55,High-Complexity,264,157263.47,100.0,99909.96,174.2,0.0,0.0,Policyholder Favorable
tight,independent,low,False,residential,45,hail,False,suburban,ACV,441488.61,0,1,61826.2,208829.25,147003.05,237.77,True,False,local,False,False,33,1,False,0.0,0.0,High-Complexity,178,208777.33,99.96,146951.13,237.68,51.92,0.02,Policyholder Favorable
tight,independent,high,False,residential,13,wind,False,rural,RCV,319838.36,0,2,54362.06,226721.31,172359.25,317.06,True,False,local,True,False,5,2,False,0.0,0.0,Complex,172,68802.06,8.38,14440.0,26.56,157919.26,69.65,Carrier Favorable
moderate,staff,,False,residential,12,hail,False,suburban,RCV,292429.92,1,0,43253.87,95244.94,51991.07,120.2,True,True,national,True,False,8,1,True,4394.5,0.48,High-Complexity,196,53934.51,20.54,10680.64,24.69,41310.43,43.37,Carrier Favorable
moderate,staff,,False,residential,24,hurricane,True,suburban,RCV,547387.19,0,1,62282.82,110158.22,47875.4,76.87,True,False,regional,False,False,31,3,False,0.0,0.0,Moderate,73,84340.21,46.07,22057.39,35.41,25818.01,23.44,Split Decision
moderate,independent,medium,False,residential,50,water,False,urban,RCV,565764.78,0,3,38613.74,94752.99,56139.25,145.39,True,True,regional,False,False,50,2,True,13935.11,0.03,High-Complexity,280,86363.2,85.06,47749.46,123.66,8389.79,8.85,Policyholder Favorable
